Country,Alpha-2,Alpha-3,Continent,Anthem,cluster
Kuwait,KW,KWT,Asia,kuwait my country may you be safe and glorious may you always enjoy good fortune you are the cradle of my ancestors who put down its memory with everlasting symmetry showing all eternity those arabs were heavenly kuwait my country may you be safe and glorious may you always enjoy good fortune blessed be my country a homeland for harmony warded by true sentry giving their soils aptly building high its history kuwait my country were for you my country led by faith and loyalty with its amir equally fencing us all fairly with warm love and verity kuwait my country may you be safe and glorious may you always enjoy good fortune,2
Kyrgyzstan,KG,KGZ,Asia,whitecapped rocky cliffs and steppes are equal to the soul of our people for countless centuries our fathers have lived in and kept the alatoo march forward kyrgyz people on the way to freedom prosperity and progress your own fate is in your hands long ago our friendly people completed and gave us the clasp to nature we acquired an accord of harmony and peace over the kyrgyz land chorus our hopes and aspirations have been fulfilled our people wave the flag of freedom the tradition of our fathers came to us let generations keep our holy heritage,3
Laos,LA,LAO,Asia,for all time the lao people have glorified their fatherland united in heart spirit and vigor as one resolutely moving forwards respecting and increasing the dignity of the lao people and proclaiming the right to be their own masters the lao people of all origins are equal and will no longer allow imperialists and traitors to harm them the entire people will safeguard the independence and the freedom of the lao nation they are resolved to struggle for victory in order to lead the nation to prosperity,3
Lebanon,LB,LBN,Asia,all of us for our country for our glory and flag our valor and our writings are the envy of the ages our mountain and our valley they bring forth stalwart men and to perfection we devote our words and labor all of us for our country for our glory and flag all of us for our country our elders and our children they await our countrys call and on the day of crisis they are as lions of the jungle the heart of our east is ever lebanon god has preserved him until the end of time all of us for our country for our glory and flag all of us for our country the gems of the east are his land and sea throughout the world his good deeds flow from pole to pole and his name is his glory since time began the cedars are his pride his immortalitys symbol all of us for our country for our glory and flag all of us for our country,0
Macau,MO,MAC,Asia,arise ye who refuse to be slaves with our very flesh and blood let us build our new great wall the peoples of china are in the most critical time everybody must roar his defiance arise arise arise millions of hearts with one mind brave the enemys gunfire march on brave the enemys gunfire march on march on march on on,0
Malaysia,MY,MYS,Asia,my motherland the land where my blood has spilt where the people live united and progressive with god given blessings of happiness may our king reign in peace with god given blessings of happiness may our king reign in peace,1
Maldives,MV,MDV,Asia,we salute you o homeland in unity with an abundance with wellwishes in our very own tongue bowing our heads to your crescent moon and star we salute the mighty red white and green victory and good fortune be its alone with our bright colours streaming in the air we hail our buoyant flag to those heroes who sought out honour and pride for the nation we give salute today in auspicious verses of remembrance may there be fame and good weal for maldivia land and maldivians name become grand we wish for their freedom and progress in this world and for their freedom from sorrows and thus we salute with full respect and heartfelt blessing towards religion and our leaders we salute you in uprightness and truth may the state ever have auspicious honour and respect with good wishes for your continuing might we salute you,1
Mongolia,MN,MNG,Asia,our sacred independent country is the ancestral hearth of all mongols may all of the worlds good deeds will prosper and continue for eternity our country will strengthen relations with all righteous countries of the world and let us develop our beloved mongolia with all our will and might our great nations symbol blesses us and the peoples fate supports us let us pass on our ancestry culture and language from generation to generation the brilliant people of the brave mongolia have gained freedom and happiness the key to delight and the path to progress majestic mongolia  our country live forever,4
Myanmar,MM,MMR,Asia,accompanied with justice and freedom our nation our motherland to bring peace to all people the nation having equal right and pure policy our nation our motherland let us preserve with vow for perpetuity of our heritage of the union as long as the world exists we love myanmar the true heritage of our ancestors we shall safeguard the union by sacrificing our lives this is our nation our motherland and our own land let us serve unitedly for the interest of our nation our motherland that is our duty for the precious land,3
Nepal,NP,NPL,Asia,woven from hundreds of flowers we are one garland thats nepali spread sovereign from mechi to mahakali a shawl of natures wealth unending from the blood of the braves a nation free and nonmoving a land of knowledge of peace the plains hills and mountains tall indivisible this beloved land of ours our motherland nepal of many races languages religions and cultures of incredible sprawl this progressive nation of ours all hail nepal,3
North Korea,KP,PRK,Asia,let morning shine on the silver and gold of this land three thousand leagues packed with natural wealth my beautiful fatherland the glory of a wise people brought up in a culture brilliant with a history five millennia long let us devote our bodies and minds to supporting this korea forever the firm will bonded with truth nest for the spirit of labour embracing the atmosphere of mount paektu will go forth to all the world the country established by the will of the people breasting the raging waves with soaring strength let us glorify forever this korea limitlessly rich and strong,4
Oman,OM,OMN,Asia,o lord protect for us his majesty the sultan and the people in our land with honor and peace may he live long strong and supported glorified be his leadership welling to protect him by our soles o oman since the time of the prophet we are a dedicated people amongst the noblest arabs be happy qaboos has come may the heaven bless him be cheerful and commend him to the protection of our prayers,1
Pakistan,PK,PAK,Asia,blessed be the sacred land happy be the bounteous realm thou symbol of high resolve o land of pakistan blessed be the citadel of faith the order of this sacred land the might of the brotherhood of the people may the nation the country and the state shine in glory everlasting blessed be the goal of our ambition the flag of the crescent and star leads the way to progress and perfection interpreter of our past glory of our present inspiration for our future shade of god the glorious and mighty,4
Palestine,PS,PSE,Asia,warrior warrior warrior oh my land the land of the ancestors warrior warrior warrior oh my people people of eternity with my determination my fire and the volcano of my vendetta with the longing in my blood for my land and my home i have climbed the mountains and fought the wars i have conquered the impossible and crossed the frontiers with the resolve of the winds and the fire of the weapons and the determination of my nation in the land of struggle palestine is my home and the path of my triumphal palestine is my home palestine is my fire palestine is my vendetta and the land of withstanding by the oath under the shade of the flag by my land and nation and the fire of pain i will live as a warrior i will remain a warrior i will die as a warrior  until my country returns warrior,2
Philippines,PH,PHL,Asia,land of the morning child of the sun returning with fervor burning thee do our souls adore land dear and holy cradle of noble heroes neer shall invaders trample thy sacred shores ever within thy skies and through thy clouds and oer thy hills and seas do we behold thy radiance feel the throb of glorious liberty thy banner dear to all hearts its sun and stars alight oh never shall its shining fields be dimmed by tyrants might beautiful land of love oh land of light in thine embrace tis rapture to lie but it is glory ever when thou art wronged for us thy sons to suffer and die,4
Qatar,QA,QAT,Asia,i swear i swear swearing by the one who raised the sky  swearing by the one who spread the light qatar will always be free by the spirit of the loyal travel the high road travel by the guiding light of the prophets in my heart qatar is a way that respects the achievements of our forefathers qatar is the land of the foremost men who protect us in time of distress doves they can be at times of peace warriors they are at times of sacrifice i swear i swear swearing by the one who raised the sky  swearing by the one who spread the light qatar will always be free by the spirit of the loyal,4
Saudi Arabia,SA,SAU,Asia,hasten to glory and supremacy glorify the creator of the heavens and raise the green flag carrying the written light reflecting guidance repeat god is the greatest o my country my country live as the pride of muslims long live the king for the flag and the homeland,1
Singapore,SG,SGP,Asia,come fellow singaporeans let us progress towards happiness together may our noble aspiration bring singapore success come let us unite in a new spirit let our voices soar as one onward singapore onward singapore come let us unite in a new spirit let our voices soar as one onward singapore onward singapore,4
South Korea,KR,KOR,Asia,until the day when the east seas waters and mt baekdu are dry and worn away god protect and preserve us long live our nation   three thousand li of splendid rivers and mountains filled with roses of sharon great korean people stay true to the great korean way   the pine tree atop foremountain stands firmly unchanged under wind and frost as if wrapped in armour as is our resilient spirit   three thousand li of splendid rivers and mountains filled with roses of sharon great korean people stay true to the great korean way   autumn sky is void and vast high and cloudless the bright moon is our heart undivided and true   three thousand li of splendid rivers and mountains filled with roses of sharon great korean people stay true to the great korean way   with this spirit and this mind give all loyalty in suffering or in joy love the country   three thousand li of splendid rivers and mountains filled with roses of sharon great korean people stay true to the great korean way httpslyricstranslatecom,1
Sri Lanka,LK,LKA,Asia,thou mother lanka oh mother lanka we salute salute salute salute thee plenteous in prosperity thou beauteous in grace and love laden with grain and luscious fruit and fragrant flowers of radiant hue giver of life and all good things our land of joy and victory receive our grateful praise sublime we worship worship thee oh mother lanka we salute salute salute salute thee thou gavest us knowledge and truth thou art our strength and inward faith our light divine and sentient being breath of life and liberation grant us bondage free inspiration inspire us for ever in wisdom and strength renewed illwill hatred strife all ended in love enfolded a mighty nation marching onward all as one lead us mother to fullest freedom we worship worship thee oh mother lanka we salute salute salute salute thee,4
Syria,SY,SYR,Asia,guardians of the homeland upon you be peace our proud spirits refuse to be humiliated the den of arabism is a sacred sanctuary and the throne of the suns is a preserve that will not be subjugated the quarters of levant are towers in height which are in dialogue with the zenith of the skies a land resplendent with brilliant suns becoming another sky or almost a sky the flutter of hopes and the beat of the heart are on a flag that united the entire country is there not blackness from every eye and ink from every martyrs blood our spirits are defiant and our history is glorious and our martyrs souls are formidable guardians from us is alwald and from us is alrashd so why then shall we not lead why then shall we not rise,1
Tajikistan,TJ,TJK,Asia,our beloved country we are happy to see your pride let your happiness and prosperity be forever we have reached this day since ancient times we stand under your flag under your flag   long live my homeland my free tajikistan   you are a symbol of our ancestors hope our honour and dignity you are an eternal world for your sons your spring will never end we remain loyal to you loyal to you   long live my homeland my free tajikistan   you are a mother for all of us your future is our future your meaning is the meaning of our souls and bodies you give us happiness forever because of you we love the world love the world   long live my homeland my free tajikistan,4
Thailand,TH,THA,Asia,thailand unites the flesh and blood of thais the land of thailand belongs to the thais long has been our independence wish sovereignty allowed to maintain it because thais have been united forever the thais are peaceful and loving but are not cowards in war our sovereignty will never be threatened we will sacrifice every drop of our blood for our nation we are ready to die for freedom security and prosperity,1
Turkey,TR,TUR,Asia,fear not for the crimson flag that proudly ripples in this glorious twilight shall not fade before the last fiery hearth that is ablaze within my nation is extinguished for that is the star of my nation and it will forever shine it is mine and solely belongs to my valiant nationfrown not i beseech you oh thou coy crescent but smile upon my heroic race why the anger why the rage this blood of ours which we shed for you shall not be blessed otherwise for freedom is the absolute right of my godworshiping nationi have been free since the beginning and forever shall be so what madman shall put me in chains i defy the very idea im like the roaring flood powerful and independent ill tear apart mountains exceed the heavens and still gush out the lands of the west may be armored with walls of steel but i have borders guarded by the mighty chest of a believer recognize your innate strength my friend and think how can this fiery faith ever be killed by that battered singlefanged monster you call civilizationmy friend leave not my homeland to the hands of villainous men render your chest as armor and your body as trench stop this disgraceful rush for soon shall come the joyous days of divine promise who knows perhaps tomorrow perhaps even soonerview not the soil you tread on as mere earth  recognize it and think about the shroudless thousands who lie so nobly beneath you youre the noble son of a martyr take shame hurt not your ancestor unhand not even when youre promised worlds this paradise of a homelandwhat man would not die for this heavenly piece of land martyrs would gush out should one simply squeeze the soil martyrs may god take my life all my loved ones and possessions from me if he will but may he not deprive me of my one true homeland for the world oh glorious god the sole wish of my painstricken heart is that no heathens hand should ever touch the bosom of my sacred temples these adhans whose shahadahs are the foundations of my religion may their noble sound last loud and wide over my eternal homelandfor only then shall my fatigued tombstone if there is one prostrate a thousand times in ecstasy and tears of fiery blood shall flow out of my every wound and my lifeless body shall gush out from the earth like an eternal spirit perhaps only then shall i peacefully ascend and at long last reach the heavensso ripple and wave like the bright dawning sky oh thou glorious crescent so that our every last drop of blood may finally be blessed and worthy neither you nor my race shall ever be extinguished for freedom is the absolute right of my everfree flag for independence is the absolute right of my godworshiping nation,1
Turkmenistan,TM,TKM,Asia,i am ready to give life for our native hearth the spirit of ancestors descendants are famous for my land is sacred my flag flies in the world a symbol of the great neutral country flies the forever great creation of the people the native land the sovereign state forever the light and song of the soul long live and prosper turkmenistan my nation is united and in veins of tribes our ancestors blood undying flows storms and misfortunes of times are not dreadful for us let us increase fame and honour,3
United Arab Emirates,AE,ARE,Asia,live my country the unity of our emirates you have lived for a nation whose religion is islam and whose guide is the quran i made you stronger in the name of god o homeland my country my country my country my country may god protect you from the evil through all timeswe have vowed to build and work work sincerely work sincerely as long as we live well be sincere sinceremay safety last and the flag rise o emirates symbol of arabness we all make sacrifices for you we supply you with our blood we sacrifice for you with our souls o homeland,1
Uzbekistan,UZ,UZB,Asia,my country sunny and free salvation to your people you are a warmhearted companion to the friends flourish eternally with knowledge and invention may your fame shine as long as the world exists   these golden valleys  dear uzbekistan manly spirit of ancestors is companion to you when the great power of people became exuberant you are the country that amazes the world   belief of generous uzbek does not die out free young children are a strong wing for you the torch of independence guardian of peace just motherland be eternally prosperous   these golden valleys  dear uzbekistan manly spirit of ancestors is companion to you when the great power of people became exuberant you are the country that amazes the world,3
Vietnam,VN,VNM,Asia,soldiers of vietnam marching onward united in determination to save the nation our steps resound on the long and arduous road our flag red with the blood of victory bears the spirit of the country the distant rumbling of guns mingles with our marching song the path to glory is built by the bodies of our foes overcoming all hardships together we build our resistance bases ceaselessly for the peoples cause let us struggle let us hasten to the battlefield onward all together advancing for one eternal vietnam,4
Yemen,YE,YEM,Asia,repeat o world my song echo it over and over again remember through my joy each martyr clothe him with the shining mantles of our festivals repeat o world my song my unity oh marvelous song which fills my heart you are the promise of all to come my banner oh cloth nailed from every sun raised forever on every peak my nation give me strength oh source of strength and save me for you the best of nations in faith and love i am part of mankind and i shall march first among the arabs and my heart beat shall remain that of a yemenite no foreigner shall ever hold dominion over yemen,1
Algeria,DZ,DZA,Africa,we swear by the lightning that destroys by the streams of generous blood being shed by the bright flags that wave flying proudly on the high djebels that we are in revolt whether to live or to die we are determined that algeria should live so be our witness be our witness be our witness we are soldiers in revolt for truth and we have fought for our independence when we spoke nobody listened to us so we have taken the noise of gunpowder as our rhythm and the sound of machine guns as our melody we are determined that algeria should live so be our witness be our witness be our witness from our heroes we shall make an army come to being from our dead we shall build up a glory our spirits shall ascend to immortality and on our shoulders we shall raise the standard to the nations liberation front we have sworn an oath we are determined that algeria should live so be our witness be our witness be our witness the cry of the fatherland sounds from the battlefields listen to it and answer the call let it be written with the blood of martyrs and be read to future generations oh glory we have held out our hand to you we are determined that algeria should live so be our witness be our witness be our witness,1
Angola,AO,AGO,Africa,o fatherland we shall never forget the heroes of the fourth of february o fatherland we salute your sons who died for our independence we honour the past and our history as by our work we build the new man repeat previous two lines forward angola revolution through the power of the people a united country freedom one people one nation let us raise our liberated voices to the glory of the peoples of africa we shall march angolan fighters in solidarity with oppressed peoples we shall fight proudly for peace along with the progressive forces of the world,3
Benin,BJ,BEN,Africa,long ago at their call our ancestors without weakness succeeded with courage passion full of happiness to deliver at the price of the blood of vivid battles hasten yourselves as well builders of the present stronger in unity toiling everyday for posterity build tirelessly  children of benin arise sound the cry of freedom sing at the first light of dawn children of benin arise   when the wind blows anger and hatred everywhere people of benin be proud and of calm soul trusting in the future behold your flag in the green you will read the hope of renewal in your ancestors red evokes courage the yellow is a portent of the richest treasures    your sunny mountains your palm trees your greenery dear benin your brightness is everywhere your soil offers each person the richest of fruits benin may your united sons from henceforth in a brotherly spirit share the hope of seeing you happy in abundance forever,4
Botswana,BW,BWA,Africa,blessed be this noble land gift to us from gods strong hand heritage our fathers left to us may it always be at peace awake awake o men awake and women close beside them stand together well work and serve this land this happy land word of beauty and of fame the name botswana to us came through our unity and harmony well remain at peace as one,3
Burkina Faso,BF,BFA,Africa,against the humiliating bondage of a thousand years rapacity came from afar to subjugate them for a hundred years against the cynical malice in the shape of neocolonialism and its petty local servants many gave in and certain others resisted but the frustrations the successes the sweat the blood have fortified our courageous people and fertilized its heroic struggle and one single night has drawn together the history of an entire people and one single night has launched its triumphal march towards the horizon of good fortune one single night has brought together our people with all the peoples of the world in the acquisition of liberty and progress motherland or death we shall conquer nourished in the lively source of the revolution the volunteers for liberty and peace with their nocturnal and beneficial energies of the th of august had not only hand arms but also and above all the flame in their hearts lawfully to free faso forever from the fetters of those who here and there were polluting the sacred soul of independence and sovereignty and seated henceforth in rediscovered dignity love and honour partnered with humanity the people of burkina sing a victory hymn to the glory of the work of liberation and emancipation down with exploitation of man by man forward for the good of every man by all men of today and tomorrow by every man here and always popular revolution our nourishing sap undying motherhood of progress in the face of man eternal hearth of agreed democracy where at last national identity has the right of freedom where injustice has lost its place forever and where from the hands of builders of a glorious world everywhere the harvests of patriotic vows ripen and suns of boundless joy shine,4
Burundi,BI,BDI,Africa,our burundi gentle country take your place in the concert of nations acceding to independence with honourable intentions wounded and bruised you have remained master of yourself when the hour came you arose lifting yourself proudly into the ranks of free peoples receive then the congratulations of the nations and the homage of your sons and daughters may your name ring out through the universe our burundi sacred heritage from our forefathers recognized as worthy of selfgovernment with your courage you also have a sense of honour sing the glory of liberty conquered again our burundi worthy of our tenderest love we vow to your noble service our hands and hearts and lives may god who gave you to us keep you for us to venerate under the shield of unity in peace joy and prosperity,4
Cameroon,CM,CMR,Africa,o cameroon thou cradle of our fathers holy shrine where in our midst they now repose their tears and blood and sweat thy soil did water on thy hills and valleys once their tillage rose dear fatherland thy worth no tongue can tell how can we ever pay thy due thy welfare we will win in toil and love and peace will be to thy name ever true land of promise land of glory thou of life and joy our only store thine be honour thine devotion and deep endearment for evermore from shari from where the mungo meanders from along the banks of lowly boumba stream muster thy sons in union close around thee mighty as the buea mountain be their team instil in them the love of gentle ways regret for errors of the past foster for mother africa a loyalty that true shall remain to the last,4
Cape Verde,CV,CPV,Africa,sing brother sing my brother for liberty is a hymn and man the certainty with dignity bury the seed in the dust of the naked island at the escarpment of life hope is as big as the sea which embraces us sentinel of the oceans and winds persevering between the stars and the atlantic intone the chant of liberty sing brother sing my brother for liberty is a hymn and man the certainty,1
Central African Republic,CF,CAF,Africa,oh central africa cradle of the bantu take up again your right to respect to life long subjugated long scorned by all but from today breaking tyrannys hold through work order and dignity you reconquer your rights your unity and to take this new step the voice of our ancestors call us to work in order and dignity in the respect for rights and in unity breaking poverty and tyranny holding high the flag of the fatherland,1
Chad,TD,TCD,Africa,people of chad arise and to work you have conquered the soil and won your rights your freedom will be born of your courage lift up your eyes the future is yours o my country may god protect you may your neighbors admire your children joyful peaceful advance as you sing faithful to your fathers who are watching you people of chad arise and to work you have conquered the soil and won your rights your freedom will be born of your courage lift up your eyes the future is yours,0
Comoros,KM,COM,Africa,the flag is flying announcing complete independence the nation rises up because of the faith we have in this our comoria let us always have devotion to love our great islands we comorians are of one blood we comorians are of one faith on these islands we were born these islands brought us up may god always help us let us always have the firm resolve to love our fatherland love our religion and the world the flag is flying from the sixth of july the nation rises up our islands are lined up mayotte and anjouan moheli and ngazidja let us always have devotion to love our great islands,4
Democratic Republic of Congo,CD,COD,Africa,on this day the sun rises and our congo stands resplendent a long night is ended a great happiness has come let us all with wild joyfulness sing the song of freedom arise congolese proud every man proclaim the unity of our nation let us forget what divides us and become more united than ever let us live our motto unity work progress from the forest to the bush from the bush to the ocean one people one soul one heart ardent and proud let us all fight every one of us for our old black country and if we have to die what does it really matter our children everywhere will be able to say how triumph comes through battle and in the smallest village sing beneath our three colours,4
Djibouti,DJ,DJI,Africa,arise with strength for we have raised our flag the flag which has cost us dear with extremes of thirst and pain our flag whose colours are the everlasting green of the earth the blue of the sky and white the colour of peace and the centre the red star of blood oh flag of ours what a glorious sight,1
Egypt,EG,EGY,Africa,my homeland my homeland my homeland my love and my heart are for thee my homeland my homeland my homeland my love and my heart are for thee egypt o mother of all lands my hope and my ambition how can one count the blessings of the nile for mankind egypt most precious jewel shining on the brow of eternity o my homeland be for ever free safe from every foe egypt noble are thy children loyal and guardians of thy soil in war and peace we give our lives for thy sake,4
Equatorial Guinea,GQ,GNQ,Africa,let us walk the path of our great happiness in brotherhood without separation freedom sing after two centuries of being subjected under colonial rule in fraternal union without discrimination freedom sing let us shout live guinea defend our freedom sing always free guinea and always retain the unit let us shout live guinea defend our freedom sing always free guinea and always preserve national independence and we preserve and conserve national independence,1
Eritrea,ER,ERI,Africa,eritrea eritrea eritrea her nemesis destroyed while wailing her sacrifices vindicated by freedom forever firm in her principles her name became a synonym of tenacity eritrea the pride of the oppressed is a testament that truth prevails eritrea eritrea has taken her rightful place in the world the supreme dedication that brought us freedom will serve to rebuild her and develop her we shall honor her with progress it is our legacy to crown her eritrea eritrea has taken her rightful place in the world,3
Ethiopia,ET,ETH,Africa,respect for citizenship is strong in our ethiopia national pride is seen shining from one side to another for peace for justice for the freedom of peoples in equality and in love we stand united firm of foundation we do not dismiss humanness we are people who live through work wonderful is the stage of tradition owners of a proud heritage natural grace mother of a valorous people we shall protect you  we have a duty our ethiopia live and let us be proud of you,1
Gabon,GA,GAB,Africa,united in the concord and the brotherhood awake gabon dawn is at hand stir up the spirit that thrills and inspires us at last we rise up to attain happiness at last we rise up to attain happiness dazzling and proud the sublime day dawns dispelling for ever injustice and shame may it rise rise again and calm our fears may it promote virtue and banish warfare yes may the happy days dreamed by our ancestors come for us at last rejoice our hearts and banish the sorcerers those perfidious deceivers who were sowing poison and were spreading fear so that in the eyes of the world and of friendly nations the immortal gabon may maintain her good repute let us forget our quarrels let us build together the new structure of which we are all dreaming of from the shores of the ocean to the heart of the forest let us remain vigilant without weakness and without hatred around this flag which leads us to honour let us salute the fatherland and ever sing,4
Gambia,GM,GMB,Africa,for the gambia our homeland we strive and work and pray that all may live in unity freedom and peace each day let justice guide our actions towards the common good and join our diverse peoples to prove mans brotherhood we pledge our firm allegiance our promise we renew keep us great god of nations to the gambia ever true,4
Ghana,GH,GHA,Africa,god bless our homeland ghana and make our nation brave and strong bold to defend forever the cause of freedom and of right fill our hearts with true humility make us cherish fearless honesty and help us to resist oppressors rule with all our will and might forever more  hail to thy name o ghana to thee we make our solemn vow steadfast to build together a nation strong in unity with our gifts of mind and strength of arm whether night or day in the midst of storm in every need whatever the call may be to serve thee ghana now and evermoreraise high the flag of ghana and one with africa advance black star of hope and honor to all who thirst for liberty,4
Guinea,GN,GIN,Africa,people of africa the historic past sing the hymn of a guinea proud and young illustrious epic of our brothers who died on the field of honour while liberating africa the people of guinea preaching unity call to africa liberty the voice of a people who call all her brothers to find their way again liberty the voice of a people who call all her brothers of a great africa let us build african unity in a newly found independence,4
Guinea-Bissau,GW,GNB,Africa,sun sweat and the green sea centuries of pain and hope this is the land of our ancestors fruit of our hands of the flower of our blood this is our beloved homeland   long live our glorious homeland the banner of our struggle has flourished in the skies forward against the foreign yoke we are going to build in our immortal homeland peace and progress in our immortal homeland peace and progress   branches of the same trunk eyes in the same light this is the force of our unity the sea and the land the dawn and the sun are singing that our struggle has borne fruit httpslyricstranslatecom,3
Ivory Coast,CI,CIV,Africa,we salute you o land of hope country of hospitality thy full gallant legions have restored thy dignity   beloved ivory coast thy sons proud builders of thy greatness all not mustered together for thy glory in joy will we construct thee proud citizens of the ivory coast the country call us if we have brought back liberty peacefully it will be our duty to be an example   of the hope promised to humanity forging unitedly in new faith the fatherland of true brotherhood,4
Kenya,KE,KEN,Africa,o god of all creation bless this our land and nation justice be our shield and defender may we dwell in unity peace and liberty plenty be found within our borders let one and all arise with hearts both strong and true service be our earnest endeavour and our homeland of kenya heritage of splendour firm may we stand to defend let all with one accord in common bond united build this our nation together and the glory of kenya the fruit of our labour fill every heart with thanksgiving,3
Lesotho,LS,LSO,Africa,lesotho land of our fathers you are the most beautiful country of all you give us birth in you we are reared and you are dear to us lord we ask you to protect lesotho keep us free from conflict and tribulation oh land of mine land of our fathers may you have peace,1
Liberia,LR,LBR,Africa,all hail liberia hail all hail all hail liberia hail all hail this glorious land of liberty shall long be ours though new her name green be her fame and mighty be her powers and mighty be her powers in joy and gladness with our hearts united well shout the freedom of a race benighted long live liberia happy land a home of glorious liberty by gods command a home of glorious liberty by gods command   all hail liberia hail all hail all hail liberia hail all hail in union strong success is sure we cannot fail with god above our rights to prove we will oer all prevail we will oer all prevail with heart and hand our countrys cause defending well meet the foe with valour unpretending long live liberia happy land a home of glorious liberty by gods command a home of glorious liberty by gods command,4
Libya,LY,LBY,Africa,god is greatest he is above the plots of the aggressors and he is the best helper of the oppressed with faith and with weapons i shall defend my country and the light of truth will shine in my hand sing with me god is greatest god god god is greatest god is above the aggressors o world look up and listen the enemys army is coming wishing to destroy me with truth and with my gun i shall repulse him and should i be killed i would kill him with me sing with me woe to the imperialists and god is above the treacherous tyrant god is greatest therefore glorify him o my country and seize the forehead of the tyrant and destroy him,1
Madagascar,MG,MDG,Africa,o our beloved fatherland o fair madagascar our love will never decay but will last eternally o lord creator do thou bless this island of our fathers that she may be happy and prosperous for our own satisfaction o our beloved fatherland let us be thy servant with body heart and spirit in dear and worthy service o our beloved fatherland may god bless thee that created all lands in order he maintains thee,4
Malawi,MW,MWI,Africa,o god bless our land of malawi keep it a land of peace put down each and every enemy hunger disease envy join together all our hearts as one that we be free from fear bless our leader each and every one and mother malawi our own malawi this land so fair fertile and brave and free with its lakes refreshing mountain air how greatly blest are we hills and valleys soil so rich and rare give us a bounty free wood and forest plains so broad and fair allbeauteous malawi freedom ever let us all unite to build up malawi with our love our zeal and loyalty bringing our best to her in time of war or in time of peace one purpose and one goal men and women serving selflessly in building malawi,4
Mali,ML,MLI,Africa,at your call mali for your prosperity loyal towards your destiny we will be all united one people one goal one faith for a united africa if the enemy should show himself inside or outside standing on the ramparts we are ready to die   for africa and for you mali our banner shall be liberty for africa and for you mali our fight shall be for unity oh mali of today oh mali of tomorrow the fields are flowering with hope hearts are thrilling with confidence   standing town and country standing women young and old for the country moving towards a bright future for our dignity let us strengthen our ranks well for the public salvation let us forge the common good together shoulder to shoulder let us make the path of happiness     the path is hard very hard which leads to common happiness courage and dedication vigilance at all times truth of ancient times truth everyday happiness through labour will make the mali of tomorrow     africa finally rises let us welcome this new day let us welcome liberty let us march towards unity new found dignity support our fight true to our oath of making africa united my brothers standing together all at the appointment of honour,4
Mauritania,MR,MRT,Africa,the country of fatherhood is the honorable gift and the fortress of the book which is not bound  ayia moritan spring harmony  and the pillar of forgiveness is the hole of peace   we will protect your fiancand we will pay you  and hope for hope  and when we meet we will answer you   your character has not been blocked  the sun on your forehead did not go away  nmac of amjad expresses  africa has the freshest upstream   we gave birth to the dew and the father  a good pregnancy  and the prey of khasibah and if they find it  smona and we were welcome   your enemy has kept us young and bitter  so he got down and not stable   we have made you a covenant and our promise is a promise  we will give you a sense of generosity   we will protect your fiancand we will pay you  and hope for hope  we will protect your fiancand we will pay you  and when we meet we will answer you,1
Mauritius,MU,MUS,Africa,glory to thee motherland o motherland of mine sweet is thy beauty sweet is thy fragrance around thee we gather as one people as one nation in peace justice and liberty beloved country may god bless thee for ever and ever,3
Morocco,MA,MAR,Africa,root of the free and of the brav rising place of the lights forum of glory and its protector may you perpetuate as its forum and its protector may you live among the homeland as an address for grandeu filling every garde conveyed by every tongue with the spirit with the body your son has come to answer your call in my mouth and in my blood your love stirred up as light and fire lets go brothers heading for grandeur making the world witness that we here perpetually liv with the motto god homeland king,0
Mozambique,MZ,MOZ,Africa,in the memory of africa and the world beautiful fatherland of those that dared to fight mozambique your name is freedom the sun of june forever will shine   mozambique our glorious land rock by rock constructing the new day millions of arms in one only force o loved fatherland we will be successful   united people from rovuma to maputo it harvests the fruits of the combat for the peace the dream grows waving in the flag and goes cultivating in the certainty of tomorrow     flowers sprouting of the soil of your sweat for mounts the rivers the sea we swear for you o mozambique no tyrant will enslave us,0
Namibia,,NAM,Africa,namibia land of the brave freedom fight we he won glory to their bravery whose blood waters our freedom we give our love and loyalty together in unity contrasting beautiful namibia namibia our country beloved land of savannahs hold high the banner of liberty namibia our country namibia motherland we love thee,3
Niger,NE,NER,Africa,throughout great powerful niger which makes nature more beautiful let us be proud and grateful for our newfound freedom let us avoid vain quarrels in order to spare ourselves bloodshed and may the glorious voices of our race be free of domination let us rise in a single leap as high as the dazzling sky where stands guard its eternal soul which will make the country greater arise niger arise may our fruitful labors rejuvenate the heart of this old continent and may the song be heard in the four corners of the earth as the cry of a fair and valiant people arise niger arise on the ground and on the wave to the sound of the drums in their growing rhythms let us always remain united and may each one respond to this noble future which tells us go forward,4
Nigeria,NG,NGA,Africa,arise o compatriots arise o compatriots nigerias call obey to serve our fatherland with love and strength and faith the labour of our heroes past shall never be in vain to serve with heart and might one nation bound in freedom peace and unity o god of creation direct our noble cause guide our leaders right help our youth the truth to know in love and honesty to grow and living just and true great lofty heights attain to build a nation where peace and justice reign,3
Republic of the Congo,CG,COG,Africa,on this day the sun rises and our congo stands resplendent a long night is ended a great happiness has come let us all with wild joyfulness sing the song of freedom arise congolese proud every man proclaim the unity of our nation let us forget what divides us and become more united than ever let us live our motto unity work progress from the forest to the bush from the bush to the ocean one people one soul one heart ardent and proud let us all fight every one of us for our black country and if we have to die what does it really matter our children everywhere will be able to say how triumph comes through battle and in the smallest village sing beneath our three colours,4
